Soal1,Soal2,Soal3,Soal4,Soal5,Soal6,Soal7,Soal8,Soal9,Soal10,Hasil
sulaman,pemisahan,petir,mungil,modern,kaki:sepatu,sarjana:toga,pancawarsa,padat,Turin,BukanBakatVerbal
umpatan,penyimpangan,palsu,cebol,benar,kaki:sepatu,nelayan:sampan,listrik,elastis,Turin,BakatVerbal
potongankain,pengikisan,asli,cebol,cacat,pintu:rumah,nelayan:sampan,dasawarsa,elastis,London,BukanBakatVerbal
potongankain,pengikisan,amatiran,raksasa,modern,kaki:sepatu,sarjana:toga,dasawarsa,elastis,Turin,BakatVerbal
sulaman,pemisahan,amatiran,mungil,cacat,kaki:sepatu,juara:medali,dasawarsa,elastis,Liverpool,BukanBakatVerbal
umpatan,penggerusan,palsu,kerdil,benar,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Birmingham,BakatVerbal
potongankain,pemisahan,palsu,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Liverpool,BakatVerbal
umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Turin,BakatVerbal
umpatan,pengikisan,palsu,kerdil,cacat,kaki:sepatu,sarjana:toga,dasawarsa,elastis,Turin,BakatVerbal
umpatan,pengikisan,amatiran,mungil,tepat,kaki:sepatu,sarjana:toga,listrik,elastis,Turin,BakatVerbal
umpatan,penyimpangan,asli,raksasa,tepat,kaki:sepatu,sarjana:toga,segilima,padat,Liverpool,BakatVerbal
umpatan,pemisahan,palsu,raksasa,benar,pintu:rumah,sarjana:toga,listrik,elastis,Birmingham,BukanBakatVerbal
umpatan,penggerusan,palsu,kerdil,tepat,anting:giwang,sarjana:toga,pancawarsa,elastis,Birmingham,BukanBakatVerbal
umpatan,penyimpangan,asli,raksasa,modern,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Turin,BakatVerbal
umpatan,penggerusan,asli,mungil,cacat,kaki:sepatu,nelayan:sampan,pancawarsa,elastis,Birmingham,BakatVerbal
umpatan,penyimpangan,petir,cebol,modern,anting:giwang,pegawai:dasi,listrik,elastis,Birmingham,BukanBakatVerbal
umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,juara:medali,listrik,elastis,Turin,BakatVerbal
umpatan,penyimpangan,asli,mungil,tepat,kaki:sepatu,juara:medali,listrik,kental,Birmingham,BukanBakatVerbal
potongankain,penggerusan,amatiran,kerdil,cacat,kaki:sepatu,juara:medali,listrik,elastis,Birmingham,BukanBakatVerbal
umpatan,penyimpangan,palsu,cebol,benar,kaki:sepatu,juara:medali,pancawarsa,elastis,Turin,BakatVerbal
umpatan,pengikisan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Turin,BakatVerbal
umpatan,penyimpangan,asli,cebol,benar,kaki:sepatu,sarjana:toga,listrik,kental,Turin,BakatVerbal
potongankain,penyimpangan,petir,mungil,benar,tangan:tilang,juara:medali,segilima,padat,Birmingham,BukanBakatVerbal
potongankain,pengikisan,asli,cebol,cacat,pintu:rumah,nelayan:sampan,dasawarsa,kental,Birmingham,BukanBakatVerbal
umpatan,pengikisan,amatiran,mungil,cacat,kaki:sepatu,sarjana:toga,listrik,elastis,Turin,BakatVerbal
umpatan,penyimpangan,palsu,cebol,benar,kaki:sepatu,pegawai:dasi,pancawarsa,luwes,London,BukanBakatVerbal
potongankain,pemisahan,palsu,cebol,cacat,kaki:sepatu,pegawai:dasi,listrik,elastis,Birmingham,BukanBakatVerbal
umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,luwes,Liverpool,BakatVerbal
umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Birmingham,BakatVerbal
umpatan,penggerusan,palsu,mungil,benar,kaki:sepatu,pegawai:dasi,listrik,padat,Turin,BukanBakatVerbal
umpatan,penggerusan,amatiran,cebol,tepat,tangan:tilang,juara:medali,listrik,luwes,Turin,BukanBakatVerbal
umpatan,penyimpangan,asli,raksasa,cacat,pintu:rumah,sarjana:toga,pancawarsa,elastis,Birmingham,BakatVerbal
potongankain,pengikisan,amatiran,raksasa,cacat,kaki:sepatu,juara:medali,listrik,elastis,Turin,BakatVerbal
umpatan,pemisahan,amatiran,raksasa,cacat,kaki:sepatu,juara:medali,segilima,elastis,Turin,BakatVerbal
umpatan,penyimpangan,palsu,raksasa,cacat,kaki:sepatu,pegawai:dasi,pancawarsa,elastis,Liverpool,BakatVerbal
umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Turin,BakatVerbal
potongankain,pemisahan,asli,mungil,cacat,kaki:sepatu,sarjana:toga,dasawarsa,elastis,London,BakatVerbal
umpatan,penggerusan,amatiran,cebol,tepat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Turin,BakatVerbal
sulaman,pemisahan,palsu,raksasa,cacat,kaki:sepatu,sarjana:toga,dasawarsa,elastis,London,BakatVerbal
umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,listrik,elastis,Turin,BakatVerbal
umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,London,BakatVerbal
umpatan,pengikisan,petir,raksasa,tepat,kaki:sepatu,juara:medali,listrik,elastis,Turin,BakatVerbal
potongankain,penggerusan,amatiran,cebol,tepat,kaki:sepatu,sarjana:toga,listrik,elastis,Turin,BukanBakatVerbal
umpatan,penyimpangan,palsu,cebol,benar,tangan:tilang,sarjana:toga,listrik,luwes,Turin,BukanBakatVerbal
umpatan,pengikisan,amatiran,mungil,cacat,kaki:sepatu,juara:medali,listrik,elastis,Turin,BukanBakatVerbal
potongankain,penyimpangan,amatiran,raksasa,cacat,kaki:sepatu,sarjana:toga,listrik,elastis,Liverpool,BakatVerbal
umpatan,penggerusan,asli,raksasa,cacat,kaki:sepatu,nelayan:sampan,pancawarsa,elastis,Turin,BakatVerbal
umpatan,penyimpangan,palsu,cebol,benar,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Turin,BakatVerbal
umpatan,pemisahan,palsu,kerdil,modern,anting:giwang,juara:medali,segilima,elastis,Turin,BukanBakatVerbal
